,SRR1550981,SRR1551053,SRR1551060,SRR1551074
20:3928944:-,33,25,26,23
20:3928953:-,32,22,31,24
20:3928959:-,41,24,27,27
20:3928985:-,28,30,22,26
20:3929065:-,31,19,27,33
20:3929232:-,29,27,27,24
20:3929281:-,31,26,20,29
20:3929291:-,32,20,23,35
20:3929316:-,35,23,26,35
20:3929346:-,30,35,23,24
20:3929376:-,26,25,30,23
20:45077524:+,34,35,24,30
20:45078228:+,35,34,30,23
20:45078305:+,25,28,35,31
20:45078344:+,35,24,31,33
20:45078346:+,35,34,23,26
20:45079027:+,28,31,26,28
20:45079067:+,31,33,33,29
20:45079094:+,37,31,43,34
20:45079117:+,32,27,27,31
20:45079129:+,30,23,24,23
20:45079143:+,35,42,28,32
20:45079148:+,37,19,21,28
20:45079172:+,32,24,24,23
20:45802003:+,35,36,28,23
20:50876763:+,31,26,25,37
20:5195165:+,20,21,28,31
20:62813216:+,37,24,32,30
21:33263910:+,35,35,34,28
21:33263997:+,25,27,35,42
21:33264782:+,28,29,28,32
21:33264843:+,29,30,37,28
21:33264853:+,29,28,32,25
21:33265139:+,29,23,20,35
21:33355908:+,29,26,30,33
21:33357801:+,25,33,28,30
21:33358770:+,39,37,36,27
21:33550441:+,34,30,32,32
21:33550481:+,38,23,29,36
21:33550852:+,37,30,22,33
21:33550949:+,29,38,32,39
21:33551012:+,34,34,27,28
21:33551528:+,29,38,28,22
21:33551798:+,28,27,26,21
21:38302921:+,39,30,24,28
21:42909822:+,33,25,33,34
21:44224635:-,36,29,22,26
21:45512814:+,30,33,23,25
22:17110242:+,29,27,30,34
22:17110376:+,25,36,30,29
22:17110777:+,23,32,37,26
22:17113267:+,26,21,29,30
22:17113310:+,27,29,25,25
22:17113448:+,28,27,29,29
22:17113458:+,25,27,33,30
22:17113470:+,32,24,24,30
22:17116946:-,35,29,34,34
22:17116947:-,29,30,30,31
22:18088707:+,26,29,32,26
22:20065601:+,42,23,35,27
22:21922604:-,35,22,28,26
22:24572666:+,28,29,32,25
22:24573002:+,33,36,31,28
22:24573020:+,33,23,29,39
22:24573082:+,32,37,27,30
22:24573092:+,30,37,28,28
22:24573123:+,33,24,22,32
22:24573190:+,35,26,27,25
22:24573659:+,26,38,35,34
22:24573660:+,23,29,30,18
22:24573786:+,32,28,33,29
22:24573813:+,31,18,36,32
22:24574706:+,28,33,35,27
22:24574751:+,33,32,26,32
22:25724899:+,35,33,38,31
22:25725025:+,27,29,30,30
22:25725030:+,25,32,31,34
22:25725098:+,31,35,33,30
22:25725109:+,33,30,33,27
22:26522822:-,37,28,18,31
22:26522896:-,32,23,33,30
22:26523182:-,31,35,26,30
22:26523800:-,33,33,31,26
22:26524341:-,41,35,30,25
22:26524444:-,37,26,25,31
22:26524475:-,33,28,31,27
22:26524500:-,45,34,32,28
22:26524504:-,38,21,20,33
22:26525284:-,32,31,31,34
22:26525341:-,31,26,38,27
22:35659829:+,39,21,30,36
22:35659868:+,31,44,39,37
22:35659926:+,33,29,32,33
22:35659931:+,30,39,32,23
22:35659975:+,28,30,33,19
22:35660344:+,32,26,20,22
22:35660361:+,29,18,23,22
22:35660445:+,34,25,27,35
22:35660498:+,34,39,30,24
22:35660516:+,34,30,33,30
22:35660582:+,41,32,18,31
22:35660617:+,24,42,35,25
22:35660702:+,42,25,32,31
22:35661307:+,32,34,38,37
22:36266114:+,29,25,24,29
22:36266649:+,40,28,26,20
22:36266650:+,40,28,31,28
22:36266793:+,31,43,23,21
22:36266794:+,29,34,31,29
22:36266854:+,23,19,27,35
22:36266886:+,36,26,36,30
22:39018748:+,32,25,27,20
22:39018894:+,32,30,31,35
22:39018917:+,36,27,32,34
22:39019885:+,20,38,34,29
22:39019975:+,26,33,28,34
22:39020029:+,35,22,33,24
22:39020057:+,33,30,25,25
22:39020075:+,15,24,19,18
22:39032721:+,33,25,33,29
22:41178990:+,27,32,46,12
22:41599255:-,28,30,28,39
22:41599279:-,29,35,33,37
22:42381237:-,24,31,24,25
22:42381262:-,36,28,26,28
22:42381369:-,22,33,30,23
22:42382830:-,19,33,25,24
22:42382869:-,25,32,25,34
22:42383474:-,31,31,33,25
22:42383480:-,34,32,31,27
22:42383500:-,22,38,27,31
22:42383504:-,25,31,33,35
22:42383532:-,20,30,37,26
22:42383533:-,35,38,35,27
22:42383582:-,36,32,36,33
22:42383646:-,34,29,29,28
22:42383670:-,24,34,32,33
22:50623950:-,22,26,27,26
22:50624024:-,28,28,27,28
22:50624361:-,34,25,27,24
2:128193936:+,34,17,41,32
2:152120203:-,26,24,25,40
2:159769457:-,37,31,34,38
2:159769988:-,30,32,27,32
2:159770082:-,33,36,38,36
2:159770173:-,31,28,25,30
2:200977710:-,27,24,31,34
2:200977768:-,30,33,33,24
2:200977820:-,33,23,37,23
2:200978571:-,32,37,28,27
2:201164009:+,41,29,20,21
2:201164040:+,24,22,37,30
2:201164055:+,31,34,28,27
2:201164079:+,30,29,30,17
2:201164087:+,27,30,27,23
2:201164143:+,28,38,30,38
2:201165370:+,25,21,26,37
2:201165387:+,25,17,31,25
2:201165399:+,42,27,22,32
2:201165409:+,32,29,33,30
2:201165444:+,26,33,33,19
2:201165450:+,35,33,34,34
2:201165480:+,19,30,27,35
2:201165514:+,36,28,27,25
2:201165533:+,27,17,39,33
2:201165545:+,38,28,20,27
2:201175413:+,29,35,33,32
2:201218006:+,24,34,33,29
2:201219148:+,25,30,27,36
2:201219251:+,19,34,26,32
2:201286638:+,37,30,33,27
2:201286665:+,35,25,25,25
2:201286714:+,28,28,31,27
2:201286732:+,28,31,28,26
2:201287274:+,31,29,30,33
2:201287277:+,36,24,20,35
2:201287293:+,25,22,34,31
2:201287299:+,30,33,35,32
2:201287323:+,23,31,32,18
2:201287338:+,38,40,30,25
2:201287346:+,35,32,30,23
2:201287354:+,29,24,29,32
2:201287362:+,22,29,26,39
2:201287367:+,27,31,36,17
2:201287384:+,30,35,28,30
2:216501791:+,28,26,28,29
2:219172105:-,25,28,30,25
2:230167361:-,48,35,26,23
2:230167390:-,26,42,38,27
2:230167981:-,33,28,24,35
2:230168008:-,31,31,24,39
2:3541907:-,19,31,39,38
2:3541930:-,22,33,27,24
2:3543850:-,33,30,40,24
2:3545011:-,31,31,40,40
2:3545046:-,28,35,27,36
2:3545047:-,32,24,27,31
2:37100425:-,29,36,35,26
2:37100445:-,35,30,29,23
2:37100446:-,32,35,25,34
2:37100872:-,37,29,28,42
2:37100938:-,25,37,31,27
2:37100988:-,30,39,30,25
2:37101247:-,37,24,32,31
2:37101539:-,33,32,30,26
2:37101620:-,34,36,27,33
2:37101656:-,29,23,25,26
2:37101910:-,24,26,42,30
2:37102036:-,21,30,33,37
2:37102070:-,20,35,29,37
2:37102094:-,35,23,24,32
2:37102163:-,36,30,32,30
2:37103894:-,24,15,34,30
2:37103921:-,26,28,34,41
2:37103933:-,35,30,29,27
2:37103975:-,33,32,36,24
2:37104381:-,25,32,26,35
2:37104411:-,29,23,38,34
2:37104785:-,29,26,34,23
2:37104872:-,24,22,31,31
2:37104880:-,26,28,27,22
2:37104898:-,34,26,43,24
2:37202382:+,26,33,32,34
2:37204341:+,27,27,27,22
2:68180525:-,35,26,33,35
2:68180529:-,29,32,38,32
2:69461662:-,33,28,27,31
2:69462637:-,14,29,36,25
2:69463444:-,27,22,38,30
2:85319249:-,28,26,37,27
2:85319274:-,24,28,26,33
2:85319302:-,33,33,29,35
2:85319333:-,30,34,26,31
2:85319448:-,38,26,34,28
2:96249499:-,35,28,30,29
2:96249574:-,28,28,42,25
2:98623011:-,31,30,32,31
3:10150923:+,39,32,29,30
3:10151019:+,27,23,34,26
3:10151032:+,32,31,36,27
3:10151939:+,31,35,34,35
3:10152047:+,27,31,33,30
3:10152221:+,23,29,25,30
3:10152293:+,28,30,31,45
3:10152309:+,34,32,38,28
3:10152313:+,23,37,27,25
3:10152320:+,41,29,25,25
3:10152325:+,38,29,45,37
3:10152355:+,43,21,25,33
3:10152621:+,24,34,37,31
3:10152631:+,33,24,37,33
3:10152671:+,37,35,29,28
3:10152750:+,22,32,24,29
3:10152763:+,38,33,43,28
3:10152870:+,21,25,30,27
3:10152908:+,34,23,22,22
3:10152956:+,23,25,25,24
3:10153020:+,24,26,36,34
3:10153059:+,20,31,29,39
3:10153099:+,25,32,19,41
3:10153156:+,25,28,33,32
3:10153166:+,24,34,33,22
3:10153197:+,30,36,32,27
3:10153198:+,23,38,30,28
3:10153205:+,20,21,26,33
3:10153222:+,34,29,34,35
3:10153237:+,30,36,25,26
3:10153248:+,29,25,30,25
3:10153303:+,30,31,31,19
3:10153348:+,31,18,27,44
3:10153349:+,19,23,28,21
3:10153411:+,30,37,29,36
3:10153418:+,24,30,34,35
3:122573486:+,26,28,31,22
3:128071405:+,27,33,27,30
3:141948496:-,23,33,29,22
3:141949876:-,26,30,32,27
3:141950025:-,33,34,29,18
3:142160239:-,16,29,30,25
3:142160838:-,36,38,24,32
3:142160922:-,24,19,38,32
3:142160967:-,32,29,27,23
3:142161013:-,24,27,33,37
3:142163777:-,36,35,24,32
3:150627663:+,33,30,23,36
3:15072147:-,35,34,32,20
3:15072186:-,36,23,30,27
3:156541439:-,34,27,26,26
3:156541617:-,35,33,28,34
3:179397622:-,25,38,30,32
3:179397782:-,37,29,28,16
3:179398209:-,18,32,22,26
3:183491237:-,25,22,33,30
3:183491273:-,30,29,38,30
3:32955481:+,37,31,26,25
3:32955738:+,28,37,38,20
3:32955793:+,35,31,19,22
3:32956061:+,30,36,29,28
3:38140548:+,31,26,23,31
3:45680343:+,33,34,37,29
3:45680550:+,23,29,29,27
3:45680562:+,35,27,33,30
3:48750422:-,27,35,22,29
3:49415395:+,38,29,28,34
3:49423877:-,37,24,32,21
4:1386786:+,20,25,37,27
4:139045646:+,26,35,30,36
4:152622846:-,27,33,25,30
4:152622851:-,35,34,28,31
4:152622852:-,31,27,29,31
4:152622853:-,25,27,35,27
4:152622865:-,34,33,29,29
4:152622928:-,30,30,28,36
4:152622938:-,25,31,25,25
4:152622951:-,27,34,28,25
4:152622980:-,22,30,29,32
4:152623028:-,21,27,21,31
4:152623053:-,17,29,33,37
4:152623067:-,45,28,31,29
4:152623117:-,26,27,37,32
4:152623606:-,33,44,27,29
4:152623661:-,20,41,31,28
4:152623707:-,27,25,28,31
4:152623713:-,32,32,35,34
4:152623824:-,32,33,30,24
4:152623848:-,35,33,33,32
4:152624381:-,25,45,30,32
4:152624427:-,35,35,33,29
4:152624478:-,26,23,31,26
4:152624561:-,30,32,32,29
4:15732397:+,35,24,23,28
4:15849225:+,25,25,32,36
4:17626093:+,28,27,24,33
4:17801265:-,30,35,18,31
4:17801266:-,31,27,50,35
4:17801355:-,30,32,27,28
4:17801395:-,22,29,26,32
4:17802038:-,28,39,35,34
4:2833828:+,34,24,28,35
4:2839660:+,23,38,28,31
4:2839706:+,25,24,23,30
4:2839792:+,37,36,34,35
4:2839963:+,30,34,26,34
4:2839970:+,30,35,41,22
4:2840077:+,20,26,30,29
4:2840165:+,24,22,41,39
4:2840202:+,37,23,19,36
4:2938337:-,30,24,35,43
4:2938397:-,38,28,31,26
4:2938702:-,27,33,39,27
4:39549050:-,24,35,27,30
4:39549082:-,34,20,40,22
4:39549094:-,32,31,30,21
4:39549155:-,40,28,28,22
4:39549166:-,33,27,21,33
4:39549346:-,28,23,38,27
4:39549410:-,32,20,30,26
4:57110067:-,30,28,37,23
4:73057696:-,29,32,33,27
4:73057731:-,29,34,32,28
4:73742584:+,20,28,27,21
4:73742712:+,30,27,37,30
4:73742730:+,36,28,37,28
4:77048531:-,28,25,36,33
4:77056010:-,36,24,20,26
4:77058526:-,30,26,42,29
4:83294325:-,27,27,40,32
4:83294527:-,23,32,21,26
4:83294564:-,23,31,32,30
4:83294643:-,28,27,35,33
4:83294650:-,30,29,34,33
4:83294697:-,19,37,30,24
4:83294757:-,39,33,33,30
4:83294836:-,37,30,30,21
4:83294883:-,34,33,27,29
4:83294981:-,29,34,30,17
4:83295015:-,37,26,34,41
5:109335496:-,30,43,32,31
5:119394842:+,41,33,25,33
5:119394868:+,25,23,37,33
5:131201061:+,27,33,39,24
5:131202580:+,33,36,29,29
5:143225440:+,22,28,31,25
5:143225870:+,26,33,21,21
5:143226114:+,34,29,22,35
5:150402140:-,23,39,37,29
5:151268175:+,25,41,18,24
5:157309799:+,40,31,38,23
5:157477824:-,24,35,35,35
5:157477844:-,31,24,34,28
5:157477920:-,35,20,25,21
5:157477936:-,33,32,40,30
5:157477938:-,32,33,39,32
5:157477941:-,26,30,25,32
5:157478364:-,26,34,21,31
5:157478387:-,36,29,30,33
5:157478389:-,36,26,33,30
5:157478402:-,25,35,35,23
5:157478436:-,36,26,26,34
5:157478484:-,25,32,32,45
5:157478552:-,37,21,31,24
5:157478557:-,38,30,32,29
5:172043056:-,25,34,31,33
5:55940134:+,37,26,30,30
5:65668352:-,22,28,41,33
5:65668392:-,34,33,24,28
5:69280912:-,27,26,37,27
5:79685799:+,21,29,36,21
5:96917784:+,30,32,41,21
6:109463123:-,32,26,27,29
6:134170114:-,32,32,29,26
6:149449356:-,24,32,32,19
6:149449360:-,30,32,35,32
6:149449361:-,43,32,39,25
6:149449381:-,32,27,33,23
6:149449710:-,24,31,34,35
6:149591170:+,41,30,26,27
6:25986438:+,43,21,30,31
6:35575355:-,27,29,23,24
6:36140564:+,23,22,26,25
6:36140914:+,42,43,31,25
6:36141022:+,20,29,23,27
6:36141035:+,21,25,15,22
6:36141062:+,34,23,27,40
6:36141666:+,30,33,35,31
6:36144101:+,33,28,25,27
6:36495067:-,33,33,23,30
6:37028685:+,28,26,21,37
6:407707:+,29,40,27,27
6:42079687:+,38,25,36,37
6:42080537:+,28,39,31,40
6:42256770:-,25,28,36,29
6:42691943:+,29,22,32,31
6:42888240:+,33,29,27,29
6:42888591:+,22,31,32,33
6:42889397:+,35,32,30,24
6:63211926:+,37,31,40,22
7:100399967:+,32,42,34,25
7:101092132:+,26,24,33,37
7:102448589:+,34,28,18,26
7:102449381:+,40,31,40,24
7:102449810:+,29,23,40,16
7:102449913:+,35,31,25,32
7:102451079:+,26,23,38,28
7:102452878:+,35,32,22,27
7:102452937:+,39,27,38,33
7:102453345:+,26,32,26,35
7:102454179:+,25,35,27,30
7:102454184:+,30,26,31,24
7:102454913:+,42,32,20,31
7:102456453:+,30,27,35,33
7:102637153:-,32,30,26,26
7:102637213:-,28,25,39,26
7:102637230:-,23,35,30,31
7:102637274:-,18,19,15,33
7:102637284:-,25,34,28,39
7:102637313:-,32,30,28,35
7:102637333:-,38,36,28,35
7:139047444:-,29,31,34,29
7:156970053:+,25,33,28,38
7:17344729:+,32,22,28,26
7:17344812:+,22,40,22,32
7:17344889:+,50,23,26,28
7:17345061:+,27,27,19,33
7:17345105:+,31,30,29,26
7:17345149:+,30,28,27,30
7:17345193:+,28,19,35,15
7:17345255:+,28,28,37,35
7:17345257:+,29,18,22,31
7:17345262:+,24,28,40,32
7:35633383:-,31,32,27,22
7:39950702:+,27,33,24,28
7:39950744:+,45,30,34,28
7:39950927:+,29,38,36,26
7:39950978:+,24,29,37,23
7:39950990:+,30,29,24,31
7:44578827:-,24,24,28,36
7:44801787:+,30,29,28,31
7:44801919:+,34,30,36,41
7:44801989:+,32,31,32,31
7:44802248:+,32,24,29,33
7:44802257:+,34,22,25,23
7:44802331:+,27,45,38,34
7:44802370:+,28,33,29,28
7:44802499:+,25,25,32,29
7:44832905:-,27,38,27,27
7:44833227:-,35,32,29,30
7:44833452:-,32,41,23,31
7:5621314:-,24,27,34,24
7:5622560:-,33,39,19,26
7:66153558:+,29,30,33,22
7:66153601:+,19,24,32,34
7:66153798:+,35,25,29,24
7:66153992:+,27,28,28,33
7:66154040:+,25,26,25,33
7:66154341:+,26,35,23,32
7:66154378:+,25,28,20,24
7:7245841:+,22,35,34,25
7:7246187:+,38,25,28,29
7:7246204:+,44,27,36,27
7:88277747:-,27,35,28,28
7:99574489:+,42,38,29,28
7:99574502:+,25,23,31,18
7:99574503:+,31,33,25,23
7:99575318:+,32,18,29,29
8:102829408:-,27,26,28,27
8:11842703:-,24,36,32,26
8:11842708:-,21,36,31,23
8:11842721:-,23,26,28,34
8:11842733:-,25,27,29,32
8:11842741:-,31,26,34,32
8:11842744:-,35,25,31,26
8:11842751:-,24,27,40,37
8:11842774:-,35,33,29,28
8:11842853:-,27,31,37,28
8:11842863:-,33,29,33,32
8:11842909:-,35,27,27,32
8:11843016:-,29,25,28,39
8:11843166:-,32,37,32,34
8:11843167:-,38,24,41,34
8:11843175:-,37,23,28,25
8:11843813:-,32,21,35,24
8:11843847:-,27,43,32,32
8:11843909:-,40,35,31,32
8:11843919:-,25,30,31,24
8:11843931:-,27,30,28,22
8:11843948:-,24,24,25,37
8:11843970:-,21,19,41,25
8:11843994:-,32,32,32,30
8:11843999:-,33,29,32,29
8:11844020:-,30,42,31,32
8:11844026:-,31,37,24,32
8:30678435:-,38,26,41,24
8:30678462:-,29,26,33,33
8:30678560:-,27,42,32,37
8:30678607:-,29,24,34,36
8:30678892:-,31,23,29,26
8:30678932:-,26,17,24,27
8:30679085:-,22,31,21,33
8:38264244:-,30,26,27,21
8:38970717:+,27,29,25,29
8:38970747:+,34,35,30,22
8:38971691:+,34,34,34,37
8:38971700:+,30,26,24,39
8:38971825:+,30,29,29,24
8:38971933:+,32,28,30,24
8:38972217:+,35,33,30,30
8:38972234:+,33,39,38,24
8:38972255:+,28,28,27,32
8:38972290:+,28,29,33,37
8:38972458:+,19,34,33,28
8:38972976:+,33,36,31,34
8:38973016:+,37,35,33,35
8:38973066:+,42,38,25,34
8:97728665:+,40,37,29,25
8:97728671:+,36,24,32,35
8:97729161:+,36,34,31,28
8:97729188:+,26,26,31,33
9:112224150:-,38,35,28,28
9:114337101:-,33,34,31,30
9:120601926:-,34,28,25,31
9:123380441:-,39,36,31,36
9:129809391:+,29,27,42,28
9:131497876:+,30,22,23,34
9:133362695:-,29,32,34,30
9:134905623:-,29,26,29,30
9:134906088:-,27,33,30,30
9:134906133:-,40,35,40,21
9:134906167:-,37,35,28,30
9:134906213:-,28,37,33,30
9:134906813:-,28,27,38,36
9:134906826:-,34,26,30,32
9:134907065:-,31,28,32,26
9:136441102:-,39,28,30,36
9:136441170:-,22,31,31,36
9:32456319:-,32,25,31,29
9:32456414:-,30,31,39,27
9:32456450:-,38,24,41,31
9:32456454:-,37,38,18,35
9:37503348:+,21,27,37,34
9:37503369:+,29,29,35,39
9:37503394:+,35,25,41,32
9:37503492:+,19,36,27,31
9:37503540:+,34,33,29,31
9:78272287:+,25,33,32,39
9:86027282:-,28,33,32,29
X:101009677:-,34,30,31,27
X:101009678:-,38,32,29,23
X:101010295:-,21,43,32,40
X:101010359:-,29,15,36,43
X:108077913:+,32,32,31,37
X:110174104:+,29,27,45,25
X:119539274:-,20,19,29,27
X:123913014:+,32,29,27,31
X:123913261:+,40,23,24,26
X:123913275:+,40,32,40,24
X:123913444:+,26,39,31,33
X:12922710:+,18,30,27,33
X:12922721:+,29,34,33,24
X:12922725:+,23,38,27,28
X:154011114:-,27,21,21,37
X:154011235:-,29,40,28,25
X:154011308:-,22,28,27,23
X:154011335:-,28,25,23,32
X:154351581:-,33,32,21,34
X:154351588:-,26,31,33,33
X:15782971:+,35,23,27,27
X:24077207:+,23,28,29,35
X:24077265:+,37,30,24,27
X:2906197:-,35,26,29,22
X:46604578:-,30,32,35,32
X:46605078:-,31,32,21,27
X:46881375:+,24,25,25,31
X:48577959:+,39,28,32,19
X:54563646:+,30,21,26,29
X:77827509:-,32,23,30,34
X:77828076:-,33,25,30,32
X:77828077:-,22,35,29,35
X:77828119:-,34,32,23,25
X:77828225:-,30,31,25,27
X:77828466:-,36,28,28,32
X:77828483:-,34,34,25,36
X:77828503:-,24,34,27,32
X:77828544:-,32,26,38,32
